# Generated from Chewing tsi.csv
# Source revision: ea74f76dd2548b1d65d0ff70c3ae66057a6ad97d
# Dictionary license: LGPL-2.1-or-later
㹴	犬
丈高	樓
丈高樓	平
丈高樓平	地
三	年	十	個	重	月	民	段	百
三一	學
三一學	院
三七	五	二	仔
三七二	十
三七二十	一
三七五	減
三七五減	租
三三	兩
三三兩	兩
三下	四
三不	知	五	管	四	朽
三不五	時
三世	界	紀	明
三世明	王
三五	成	好	娘
三五好	友
三五成	群
三人	行	稱	份	成
三人成	虎
三代	同
三代同	堂
三令	五
三令五	申
三伯	母	父
三位	數	一
三位一	體
三保	太
三保太	監
三俠	五
三俠五	義
三個	月	人	臭	世	代	和
三個世	界
三個代	表
三個和	尚
三個和尚	沒
三個臭	皮
三個臭皮	匠
三倒	四
三催	四
三催四	請
三億	元	人
三元	里	裡
三兩	兩
三八	婦
三八婦	女
三八婦女	節
三再	四
三分	之	鐘	法	球	線	頭
三分之	一	二
三劍	客
三十	六	年	而	七	二
三十七	道
三十七道	品
三十二	相
三十六	計
三十年	代
三十而	立
三千	元	人	個	塊	只
三千只	取
三千只取	一
三原	則	色
三叉	戟	骨
三句	話	不
三句不	離
三句話	不
三句話不	離
三台	聯
三台聯	播
三合	一	土	板	會
三吋	半
三周	年
三和	路	弦
三商	銀	虎	行
三善	根
三國	志	演	時	誌	鼎	際
三國時	代
三國演	義
三國鼎	立
三地	門
三塊	錢
三壇	大
三壇大	戒
三壘	手
三大	類	塊	洋	革	差	政	片
三大差	別
三大政	策
三大革	命
三大革命	運
三天	兩	打
三天兩	頭
三天打	魚
三太	保
三夾	板
三妻	四
三妻四	妾
三姑	六
三姑六	婆
三字	經
三家	不
三家不	吃
三家不吃	虧
三寶	弟	殿
三寶弟	子
三寸	不	金	丁	舌
三寸不	爛
三寸不爛	之
三寸金	蓮
三專	制	生
三小	時	塊	片
三層	樓
三山	五
三山五	嶽
三岔	路	口
三岔路	口
三平	調
三年	級	制	生	有	五
三年五	載
三年有	成
三度	空
三度空	間
三座	大
三座大	山
三弦	琴	樂
三弦樂	器
三張	犁
三從	四
三從四	德
三心	二	兩
三心二	意
三心兩	意
三思	而
三思而	後	行
三思而後	行
三態	變
三態變	化
三成	新
三戰	兩
三戰兩	勝
三戶	亡
三戶亡	秦
三房	二	一
三房一	廳
三房二	廳
三扯	四
三把	火
三振	出
三振出	局
三推	四
三揀	四
三握	髮
三摩	地
三教	九
三教九	流
三斑	家
三斑家	蚊
三方	面
三日	份	打
三日打	魚
三明	治
三星	期	級
三春	柳
三昧	耶	真
三昧真	火
三昧耶	戒	曼
三昧耶曼	陀
三暮	四
三更	半
三更半	夜
三月	份
三朝	元
三朝元	老
三李	四
三杯	雞
三棱	鏡
三極	管	真	體
三極真	空
三樓	住
三樓住	戶
三權	分
三權分	立
三歲	時
三段	式	論	制	票
三段論	法
三比	克
三民	路	主	區
三民主	義
三氯	甲	化
三氯化	鉍
三氯甲	烷
三法	印
三淨	肉
三溫	暖
三班	制
三生	有
三生有	幸
三申	五
三申五	令
三番	兩	五
三番五	次
三番兩	次
三百	首	六	元	人	個	兩	塊	篇
三百六	十
三百六十	度	行
三皇	五
三皇五	帝
三瞞	四
三破	二
三秒	鐘	膠
三稜	鏡	錐
三等	親	艙	級
三節	課
三級	跳
三級跳	遠
三結	合
三維	縣
三綱	五
三綱五	常
三緘	其
三緘其	口
三缺	一
三老	四
三老四	嚴
三聯	劇	式	單
三聲	無
三聲無	奈
三胞	胎
三腳	架	貓
三自	性
三色	筆
三菩	提
三萬	元	人	個	塊
三落	四
三葉	期	蟲
